data,url
Our major recruiters,http://mgmits.ac.in/ktu-approved-research-guides/
"RESEARCH AND CONSULTANCY CELL 1.To promote undergraduate research 2.To establish the research culture among faculty and there by design and develop new technologies in their respective areas. At Muthoot Institute of Technology and Science, above initiatives are to motivate the students and the faculty/staff of the institute, to update the knowledge mapping with the emerging technology trends and to handhold them towards research aspects. This kind of effort has been put in order to adapt with the dynamic growth of science or technology. With this, everyone is encouraged to do academic or industrial research thus involving in innovation or development, and to use the knowledge for consultancy with the industries. Research and Consultancy cell of all disciplines are working together to achieve this goal. The R & D cell of this college also takes initiatives in publications in conferences/journals organizing conferences, seminars and workshops. Research and Consultancy cell has the additional responsibility of recommending and forwarding the requests for attending workshops/STTPs/Seminars/FDPs to the higher authorities and also the recommendation for the reimbursement of fee for presenting papers/attending conferences. 1. Dr Abhilash Antony -Faculty Chairman R&C (Asso.Professor -ECE) 2. Dr Rajesh Cherian Roy(Professor-CSE) 3. Dr Renju Rajan -Secretary (Asst.Professor-BS&H) 4. Mr. Dhileep M -Member (Assoc.Professor-CE) 5. Dr Kurian Antony-Member (Asso.Professor-ME) 6. Mr.Venugopalan Kurupath-Member (Asso.Professor-EEE) 7.Dr Krishnapriya S -Member (Asst.Professor-ECE) 8.Dr Praveen K.M -Member (Asst.Professor-ME) 9. Ms.Cerene Mariam Abraham-Member (Asst.Professor-CSE) Our major recruiters",http://mgmits.ac.in/research/research-and-consultancy-cell/
"GYanVESHAN stands for “In pursuit of knowledge”. It is a biannual publication of Research & Consultancy Cell of MITS, which aims at high quality research as well as current affairs articles in the field of technology. Our major recruiters",http://mgmits.ac.in/gyanveshan/
"A premier engineering college in the state, located at Kochi Affiliated to APJ Abdul Kalam Technological University Approved by AICTE (Promoted by ALERT UPDATES Happy to inform that MITS secured 2nd position among 134 engineering colleges in the state for Batch of 2017-21 in terms of , and 4th position among 134 engineering colleges in the state in terms of Everyone is requested to abide by the instructions issued by the government. Lets play our role in the battle against COVID-19. MITS Online Distinguished Lecture Series. Click .Departments of CSE, ECE, EEE, and ME accredited by National Board of Accreditation for 3 years (2019-22). We wholeheartedly thank the management of Muthoot Group, faculty, staff, students, parents, and alumni of MITS, and industry representatives for making this happen. About Muthoot Institute of Technology and Science (MITS) is promoted by Muthoot M. George Institute of Technology, a Section 25 Company within the Muthoot Group. MITS is a self financing technical institution offering undergraduate engineering programmes, situated in the industrial suburb of Kochi, close to the Smart City and Info Park, approximately 15 kms from Vytilla Junction towards Muvattupuzha on the Cochin Madurai National Highway. The promoters with their commanding presence in the domains of Financial Services, Hospitality, Healthcare, Renewable Energy and Information Technology, are committed to building MITS as a centre of excellence, focusing purely on merit. This “temple of learning” will provide to the students, state-of-the-art infrastructure, highly qualified and proficient teachers from various faculty of engineering and allied streams, embedded in a conducive environment where focus will be on their harmonious development. News & Events Georjoice Riju of S1 AI&DS qualified to APJAKT University basketball team for participating in the inter University basketball championship to be held at Christ University, Banglore. NSS team of MITS got First prize in the Street play competition conducted by GEC Wayanad.. ARAVAM 2021 organized by the Student Council will be conducted on Friday, 17th December 2021 from 1.45 pm to 3.40 pm in the entrance area of M. George Block. National Service Scheme (NSS) MITS in association with General Hospital Ernakulam is organizing a Blood Donation Camp on Friday, 17th December 2021 from 10.00 am to 1.00 pm in Room No. MOO6 (Near Tagore Library in M. George Block). Laharivimuktha Club,MITS in association with National Service Scheme (NSS) MITS is organizing a colourful art performance Ottan Thullal on the story “Jeevithamanu Lahari” for first year students on 16-12-2021 at 2.20 pm at Visvesvaraya Hall. Vision To be a centre of excellence for learning and research in engineering and technology, producing intellectually well-equipped and socially committed citizens possessing an ethical value system. Mission * Offer well-balanced programme of instruction, practical exercise and opportunities in technology. * Foster innovation and ideation of technological solutions on sustainable basis. * Nurture a value system in students and engender in them a spirit of inquiry. Principal’s Message At the outset, I must thank you for choosing Muthoot Institute of Technology and Science as your preferred destination for launching yourself as an engineering professional. As engineering professionals, we are bound to provide technological solutions to the world at large. At MITS, its our endeavour to create an ambience that would expose students to problems early on, and train them to be solution providers. Towards this aim, we have created a magnificent infrastructure, comprising of well-equipped laboratories, libraries, classrooms, seminar halls, cafeterias, playgrounds and hostels. We have expert teachers from varying disciplines to guide you through every step. There are plenty of avenues to showcase your curricular, co-curricular and extra-curricular talent, and some links in this website would provide you a glimpse of those possibilities as well. Additionally, inadequacies in existing curriculum are compensated with add-on courses and other specialist industry-guided initiatives. A large pool of students who pursue higher studies after qualifying at GATE, also is a direct indication that our ambience is perfect for multiple roles promoting life-long learning. It is no wonder then, that MITS is one of the preferred destinations for companies searching for young talented professionals. I look forward to your suggestions on how to improve our campus and make it a dream destination for young budding graduates. Gallery Our major recruiters CIVIL ENGINEERING Annual Intake: 60 seats COMPUTER SCIENCE & ENGINEERING Annual Intake: 120 seats ELECTRONICS & COMMUNICATION ENGINEERING Annual Intake: 60 seats ELECTRICAL & ELECTRONICS ENGINEERING Annual Intake: 60 seats MECHANICAL ENGINEERING Annual Intake: 60 seats CSE (ARTIFICIAL INTELLIGENCE) Annual Intake: 60 seats ARTIFICIAL INTELLIGENCE & DATA SCIENCE Annual Intake: 60 seats ARTIFICIAL INTELLIGENCE & DATA SCIENCE Annual Intake: 24 seats CYBER SECURITY Annual Intake: 24 seats Muthoot Institute of Technology and Science Varikoli P.O, Puthencruz- 682308 Promoted by Follow us on Copyright © 2021 Muthoot Institute of Technology and Science Template redesigned by , managed by WebAdmins",http://mgmits.ac.in/home
"The centre will help to bring faculty and students together to develop, refresh and exercise their research skills by helping to solve real world problems facing businesses, government and the community in general. The centre would primarily be having the following four goals: To teach applied research methods to students and interested faculty. To provide faculty with applied research opportunity. To produce high quality low cost information for the local stakeholders (the Institute, Muthoot Group, Small & Medium Industries and Businesses, Government Bodies, Social Welfare Workers, NGOs). Be an incubation centre for start-ups and help guide entrepreneurs. The Research Centre, in order to achieve its objectives, would have in the initial phase four major sub centres, namely: Centre for Sustainable Innovation Centre for Entrepreneurship Incubation Centre for IC&SR (Industrial Consultancy & Sponsored Research) A Tinker Lab for Developing Crazy Ideas There are four major stake holders – The Muthoot Group, The Institute, Industry and the local community (represented by the government). All the four participants/stakeholders would be providing capital in terms of funding or man power and skill to the research centre. The research centre in turn would be providing its services to these four agencies. The Centre would be composed of the following functional units: Research Centre Advisory Board Research Centre Core Team Centres of excellence and Laboratories IT, Secretarial and Laboratory Staff Legal Counsel: Intellectual Property. The research centre would be following a Design Thinking based approach for solution development and deployment. The major activities undertaken for problem resolution is shown below. CIDRIE is a platform that brings together students, technical staff, faculty and researchers to foster interdisciplinary research and Innovation in varied areas of interest and inquiry. The centre provides an environment that stimulates collaboration and inspiration. Projects are spread across diverse disciplines spanning the length, breadth and depth of human inquiry and interest like social causes, healthcare, sustainability, disruptive technologies, art, culture education and teaching & learning methodology. The aim is to give back to the society and the institute by working on any problem / issue from various relevant areas like social causes, healthcare, sustainability, disruptive technologies, art, culture education and teaching &amp; learning methodology. People are prompted to think exponentially, to think big and to think “out of the box”. CIDRIE is a place that inspires people to do the things that inspire them. People can try out crazy ideas without the fear of being looked down upon or made fun of. At the same time people and ideas are kept grounded to the real world through expert mentoring and support. It is a place where one finds happiness through the act of engaging in ones favourite pursuits as well as through the act of giving back to both the Institute and the country. Come to us with an idea and we will help you develop a product and start a business. Come to us with a problem and we will design a solution for it. A veteran in the domain of automation and digital transformation, he obtained his PhD from Department of Mechanical Engineering, IIT Madras. Prior to joining CIDRIE, he had been working at Tata Motors as part of their digital transformation initiative. His experience also includes major industries like Tata Hitachi Construction Machinery Limited, and Cummins India Limited. He does research in digital transformation, module robotics and control systems, power electronics and drives, and automation. He also has numerous publications and IPRs to his credit. An active entrepreneur with a number of completed projects, he is well known for the NESDAY brand coconut scraper which is expanding its presence in India & abroad. He specialises in circuit design, operations and cost optimisation, standardisation, and quality control. He brings vast experience from different industries and projects in India, UK, and Australia. Our major recruiters",http://mgmits.ac.in/cidrie/
Funded Projects – Government Agencies Other Funded Projects – Private agencies or NGOs Our major recruiters,http://mgmits.ac.in/research/funded-projects/
Academic Partnerships Our major recruiters,http://mgmits.ac.in/academic-partnerships/
"CONVEYANCE MITS provide transportation facility from various locations of Ernakulum district (Kaloor, Aluva, Angamaly, Kothamangalam etc.) to the College. The institution is having eight college buses in its fleet which caters the transportation needs of over 350 students. Buses are also utilised for industrial visits and other social service activities. 1)Dr Chikku Abraham, Associate Professor (Electrical & Electronics Engineering) in the role of mentor 2)Mr.Juby Joseph, Assistant Professor (Mechanical Engineering) in the role of convenor. inside the college bus is strictly prohibited. Students should and hold a valid travel pass. Students are whenever asked by any faculty. College bus facility (six months). College bus facility conducted by the faculty unless specified by the Head of Institution. For discontinuing the bus facility, students and submit the ID card (with ‘B’) to the staff in charge and get a new card. Any sort of Students are supposed to Parents/students are strictly in case of any grievance kindly report to college authorities. College bus unless it arrives before the expected time. Students have to College at a time from the beginning of semester. No fine is charged for the first fifteen days of three months; an additional amount per month will charged as a penalty for violation of the former regulation here. Our major recruiters",http://mgmits.ac.in/infrastructure/conveyance/
"CAMPUS LIVING Muthoot Institute of Technology and Science has fully furnished Adam’s House (Men’s Hostel) and Eve’s House (Ladies’ Hostel). A well-furnished and spacious Ladies Hostel- Eve’s House is situated within the campus, has a capacity to accommodate 490 students. Hostel Administration Rooms will be available to the students on sharing basis. Each student is provided with a cot, a cupboard, a table and a chair in their respective rooms making their stay most comfortable. The hostel is equipped with internet facility, a hygienic mess, a prayer hall and a gym. Uninterrupted power supply is provided at hostel with a 125 KVA generator. No of four-bed rooms: 85 No of two-bed rooms: 75 Total no of students staying in the hostel: 149 Total capacity: 490 No. of staff staying in the hostel: 02 Shared room for four Shared room for two Guest accommodation available, on request. Men’s Hostel- Adam’s House situated near to the campus has a capacity to accommodate 300 students. The rooms in the hostel are spacious and furnished with most modern amenities. Each student will be provided a cot, a cupboard, a table and a chair in their respective rooms. The hostel also provides parking facilities along with a hygienic dining area, lobby, a prayer hall and internet facilities. No of two-bed rooms: 36 No of four-bed rooms: 45 Dormitory: 01 Total no of students staying in the hostel: 168 Total capacity : 300 Shared room for four Guest accommodation available, on request. Click to view the detailed hostel rules and regulations. Photos from Eve’s House Photos from Adam’s House Our major recruiters",http://mgmits.ac.in/infrastructure/hostel/
ATM FACILITY Free ATM transactions to all A/c holders of Banks in India * (*Number of free transactions as per your Bank rules) Highly secure – 24X7 video surveillance. Our major recruiters,http://mgmits.ac.in/infrastructure/atm/
